district_code,resource_id,time,demand
1,R1,0,0.044844394556474404
1,R1,1,0.0316670914770139
1,R1,2,0.0445004444808032
1,R1,3,0.0523875535297643
1,R1,4,0.0479180741148442
1,R10,0,0.0493288340121219
1,R10,1,0.0348338006247152
1,R10,2,0.0489504889288836
1,R10,3,0.0576263088827406
1,R10,4,0.052709881526328696
1,R11,0,0.0627821523790643
1,R11,1,0.0443339280678194
1,R11,2,0.0623006222731248
1,R11,3,0.0733425749416701
1,R11,4,0.0670853037607822
1,R2,0,0.044844394556474404
1,R2,1,0.0316670914770139
1,R2,2,0.0445004444808032
1,R2,3,0.0523875535297643
1,R2,4,0.0479180741148442
1,R3,0,0.0538132734677695
1,R3,1,0.0380005097724164
1,R3,2,0.053400533376964
1,R3,3,0.0628650642357172
1,R3,4,0.0575016889378132
1,R4,0,0.058297712923417
1,R4,1,0.0411672189201179
1,R4,2,0.0578505778250444
1,R4,3,0.0681038195886936
1,R4,4,0.0622934963492977
1,R5,0,0.0672665918347118
1,R5,1,0.0475006372155209
1,R5,2,0.0667506667212051
1,R5,3,0.0785813302946465
1,R5,4,0.0718771111722666
1,R6,0,0.0717510312903593
1,R6,1,0.0506673463632221
1,R6,2,0.0712007111692855
1,R6,3,0.0838200856476231
1,R6,4,0.0766689185837511
1,R7,0,0.0538132734677695
1,R7,1,0.0380005097724164
1,R7,2,0.053400533376964
1,R7,3,0.0628650642357172
1,R7,4,0.0575016889378132
1,R8,0,0.0358755156451796
1,R8,1,0.0253336731816109
1,R8,2,0.0356003555846425
1,R8,3,0.0419100428238114
1,R8,4,0.0383344592918753
1,R9,0,0.0403599551008269
1,R9,1,0.0285003823293123
1,R9,2,0.0400504000327229
1,R9,3,0.0471487981767877
1,R9,4,0.0431262667033597
2,R1,0,0.0381610890544491
2,R1,1,0.0239730017771201
2,R1,2,0.0455332888558381
2,R1,3,0.0603941487678462
2,R1,4,0.05971754694703919
2,R10,0,0.0419771979598939
2,R10,1,0.026370301954832198
2,R10,2,0.0500866177414218
2,R10,3,0.066433563644631
2,R10,4,0.0656893016417432
2,R11,0,0.0534255246762289
2,R11,1,0.0335622024879683
2,R11,2,0.06374660439817349
2,R11,3,0.084551808274985
2,R11,4,0.0836045657258551
2,R2,0,0.0381610890544491
2,R2,1,0.0239730017771201
2,R2,2,0.0455332888558381
2,R2,3,0.0603941487678462
2,R2,4,0.05971754694703919
2,R3,0,0.045793306865338904
2,R3,1,0.0287676021325442
2,R3,2,0.0546399466270058
2,R3,3,0.0724729785214156
2,R3,4,0.07166105633644711
2,R4,0,0.0496094157707837
2,R4,1,0.0311649023102564
2,R4,2,0.0591932755125896
2,R4,3,0.0785123933982
2,R4,4,0.0776328110311511
2,R5,0,0.0572416335816739
2,R5,1,0.0359595026656805
2,R5,2,0.0682999332837575
2,R5,3,0.0905912231517696
2,R5,4,0.0895763204205589
2,R6,0,0.0610577424871187
2,R6,1,0.0383568028433924
2,R6,2,0.0728532621693412
2,R6,3,0.0966306380285544
2,R6,4,0.095548075115263
2,R7,0,0.045793306865338904
2,R7,1,0.0287676021325442
2,R7,2,0.0546399466270058
2,R7,3,0.0724729785214156
2,R7,4,0.07166105633644711
2,R8,0,0.030528871243559103
2,R8,1,0.019178401421695898
2,R8,2,0.036426631084670404
2,R8,3,0.048315319014277
2,R8,4,0.0477740375576313
2,R9,0,0.0343449801490041
2,R9,1,0.021575701599408102
2,R9,2,0.0409799599702543
2,R9,3,0.0543547338910616
2,R9,4,0.0537457922523352
3,R1,0,0.0032690962191594002
3,R1,1,0.0027495209706311
3,R1,2,0.0031772296107113
3,R1,3,0.0037906642949533
3,R1,4,0.0039948920902689
3,R10,0,0.0035960058410753
3,R10,1,0.0030244730676943997
3,R10,2,0.0034949525717824
3,R10,3,0.0041697307244485
3,R10,4,0.0043943812992958
3,R11,0,0.0045767347068231
3,R11,1,0.0038493293588838
3,R11,2,0.004448121454996
3,R11,3,0.0053069300129347
3,R11,4,0.0055928489263767
3,R2,0,0.0032690962191594002
3,R2,1,0.0027495209706311
3,R2,2,0.0031772296107113
3,R2,3,0.0037906642949533
3,R2,4,0.0039948920902689
3,R3,0,0.0039229154629913
3,R3,1,0.0032994251647576
3,R3,2,0.0038126755328535002
3,R3,3,0.004548797153944
3,R3,4,0.0047938705083229
3,R4,0,0.0042498250849074
3,R4,1,0.0035743772618208
3,R4,2,0.0041303984939246
3,R4,3,0.0049278635834393
3,R4,4,0.0051933597173496006
3,R5,0,0.0049036443287391
3,R5,1,0.004124281455947
3,R5,2,0.0047658444160671
3,R5,3,0.00568599644243
3,R5,4,0.0059923381354037
3,R6,0,0.0052305539506550995
3,R6,1,0.0043992335530103
3,R6,2,0.0050835673771381
3,R6,3,0.0060650628719254
3,R6,4,0.0063918273444306
3,R7,0,0.0039229154629913
3,R7,1,0.0032994251647576
3,R7,2,0.0038126755328535002
3,R7,3,0.004548797153944
3,R7,4,0.0047938705083229
3,R8,0,0.0026152769753273
3,R8,1,0.0021996167765049
3,R8,2,0.0025417836885689
3,R8,3,0.0030325314359624
3,R8,4,0.0031959136722151
3,R9,0,0.0029421865972431
3,R9,1,0.0024745688735681
3,R9,2,0.00285950664964
3,R9,3,0.0034115978654579004
3,R9,4,0.003595402881242
4,R1,0,0.0032870273439494445
4,R1,1,0.0076855346228423
4,R1,2,0.0083565190828634
4,R1,3,0.003635929146911017
4,R1,4,0.0027357326416948416
4,R10,0,0.003615730078344379
4,R10,1,0.0084540880851266
4,R10,2,0.0091921709911497
4,R10,3,0.003999522061602199
4,R10,4,0.003009305905864346
4,R11,0,0.004601838281529383
4,R11,1,0.0107597484719793
4,R11,2,0.0116991267160091
4,R11,3,0.005090300805675644
4,R11,4,0.0038300256983728586
4,R2,0,0.0032870273439494445
4,R2,1,0.0076855346228423
4,R2,2,0.0083565190828634
4,R2,3,0.003635929146911017
4,R2,4,0.0027357326416948416
4,R3,0,0.003944432812739314
4,R3,1,0.0092226415474109
4,R3,2,0.010027822899436
4,R3,3,0.004363114976293381
4,R3,4,0.00328287917003375
4,R4,0,0.004273135547134448
4,R4,1,0.0099911950096952
4,R4,2,0.0108634748077225
4,R4,3,0.004726707890984462
4,R4,4,0.0035564524342033546
4,R5,0,0.004930541015924317
4,R5,1,0.0115283019342637
4,R5,2,0.0125347786242952
4,R5,3,0.005453893720366632
4,R5,4,0.004103598962542263
4,R6,0,0.005259243750319317
4,R6,1,0.012296855396548
4,R6,2,0.0133704305325815
4,R6,3,0.0058174866350578
4,R6,4,0.004377172226711867
4,R7,0,0.003944432812739314
4,R7,1,0.0092226415474109
4,R7,2,0.010027822899436
4,R7,3,0.004363114976293381
4,R7,4,0.00328287917003375
4,R8,0,0.0026296218751594757
4,R8,1,0.0061484276982737
4,R8,2,0.0066852152662907
4,R8,3,0.0029087433175287534
4,R8,4,0.0021885861133558336
4,R9,0,0.00295832460955451
4,R9,1,0.0069169811605579
4,R9,2,0.007520867174577
4,R9,3,0.0032723362322199354
4,R9,4,0.0024621593775252374
5,R1,0,0.004084057528448527
5,R1,1,0.016858858662429
5,R1,2,0.0123806830461988
5,R1,3,0.0144195114487459
5,R1,4,0.0155709842315451
5,R10,0,0.0044924632812935695
5,R10,1,0.0185447445286719
5,R10,2,0.0136187513508187
5,R10,3,0.0158614625936204
5,R10,4,0.0171280826546995
5,R11,0,0.005717680539828098
5,R11,1,0.0236024021274008
5,R11,2,0.0173329562646784
5,R11,3,0.0201873160282445
5,R11,4,0.021799377924163102
5,R2,0,0.004084057528448527
5,R2,1,0.016858858662429
5,R2,2,0.0123806830461988
5,R2,3,0.0144195114487459
5,R2,4,0.0155709842315451
5,R3,0,0.004900869034138312
5,R3,1,0.0202306303949149
5,R3,2,0.0148568196554385
5,R3,3,0.0173034137384953
5,R3,4,0.018685181077854
5,R4,0,0.005309274786983255
