town_code;town_name;state_code;district_code;sub_district_code
802930;Warangal (M Corp.) (Part);28;540;4695
802930;Warangal (M Corp.) (Part);28;540;4695
802930;Warangal (M Corp.) (Part);28;540;4695
802931;Jangaon (M);28;540;4699
802930;Warangal (M Corp.) (Part);28;540;4706
802930;Warangal (M Corp.) (Part);28;540;4706
802930;Warangal (M Corp.) (Part);28;540;4706
802930;Warangal (M.Corp. + OG) (Part);28;540;4707
802932;Manugur (M);28;541;4727
802933;Palwancha (M);28;541;4737
802934;Kothagudem (M);28;541;4738
802935;Yellandu (M + OG);28;541;4740
802935;Yellandu (M);28;541;4740
802936;Sathupalle (NP);28;541;4751
802937;Khammam (M + OG) (Part);28;541;4756
802937;Khammam (M) (Part);28;541;4757
802937;Khammam (M);28;541;4757
802938;Palasa Kasibugga (M);28;542;4775
802939;Ichchapuram (M);28;542;4778
802940;Rajam (NP);28;542;4796
802941;Amadalavalasa (M);28;542;4798
802942;Srikakulam (M + OG) (Part);28;542;4802
802942;Srikakulam (M);28;542;4802
802942;Srikakulam (M + OG) (Part);28;542;4806
802943;Parvathipuram (M);28;543;4812
802944;Bobbili (M);28;543;4816
802945;Salur (M);28;543;4817
802946;Vizianagaram (M + OG);28;543;4836
802946;Vizianagaram (M);28;543;4836
802947;GVMC (Part);28;544;4861
802947;GVMC (Part);28;544;4862
802948;Bheemunipatnam (M + OG);28;544;4865
802948;Bheemunipatnam (M);28;544;4865
802947;GVMC (Part);28;544;4866
802947;GVMC (Part);28;544;4867
802947;GVMC (Part);28;544;4868
802947;GVMC (Part);28;544;4869
802947;GVMC (Part);28;544;4870
802949;Anakapalle (M);28;544;4871
802950;Tuni (M);28;545;4890
802951;Peddapuram (M);28;545;4903
802952;Rajahmundry (M Corp. + OG) (Part);28;545;4906
802952;Rajahmundry (M Corp.);28;545;4906
802952;Rajahmundry (M Corp. + OG) (Part);28;545;4907
802953;Samalkot (M);28;545;4910
802954;Pithapuram (M + OG);28;545;4911
802954;Pithapuram (M);28;545;4911
802955;Kakinada (M Corp. + OG) (Part);28;545;4913
802955;Kakinada (M Corp. + OG) (Part);28;545;4914
802955;Kakinada (M Corp.);28;545;4914
802956;Mandapeta (M + OG);28;545;4920
802956;Mandapeta (M);28;545;4920
802957;Ramachandrapuram (M);28;545;4924
802958;Amalapuram (M);28;545;4941
802959;Kovvur (M);28;546;4958
802960;Nidadavole (M);28;546;4960
802961;Tadepalligudem (M + OG);28;546;4961
802961;Tadepalligudem (M);28;546;4961
802962;Eluru (M Corp. + OG);28;546;4966
802962;Eluru (M Corp.);28;546;4966
802963;Tanuku (M + OG);28;546;4972
802963;Tanuku (M);28;546;4972
802964;Bhimavaram (M + OG);28;546;4984
802964;Bhimavaram (M);28;546;4984
802965;Narasapur (M);28;546;4987
802966;Palacole (M + OG);28;546;4988
802966;Palacole (M);28;546;4988
802967;Jaggaiahpet (M);28;547;4991
802968;Nuzvid (M);28;547;5003
802969;Vijayawada (M Corp.) (Part);28;547;5010
802969;Vijayawada (M Corp. + OG) (Part);28;547;5011
802969;Vijayawada (M Corp.) (Part);28;547;5011
802970;Gudivada (M);28;547;5021
802969;Vijayawada (M Corp. + OG) (Part);28;547;5024
802971;Pedana (M);28;547;5030
802972;Machilipatnam (M);28;547;5034
802973;Macherla (M);28;548;5040
802974;Piduguralla (NP);28;548;5047
802975;Tadepalle (M + OG);28;548;5054
802975;Tadepalle (M);28;548;5054
802976;Mangalagiri (M + OG);28;548;5055
802976;Mangalagiri (M);28;548;5055
802977;Sattenapalle (M);28;548;5058
802978;Vinukonda (M + OG);28;548;5062
802978;Vinukonda (M);28;548;5062
802979;Narasaraopet (M + OG);28;548;5067
802979;Narasaraopet (M);28;548;5067
802980;Chilakaluripet (M);28;548;5070
802981;Guntur (M Corp. + OG);28;548;5074
802981;Guntur (M Corp.);28;548;5074
802982;Tenali (M);28;548;5078
802983;Ponnur (M);28;548;5084
802984;Bapatla (M);28;548;5093
802985;Repalle (M);28;548;5096
802986;Markapur (M);28;549;5115
802987;Chirala (M + OG) (Part);28;549;5123
802987;Chirala (M);28;549;5123
802987;Chirala (M + OG) (Part);28;549;5124
802988;Ongole (M + OG) (Part);28;549;5138
802988;Ongole (M + OG) (Part);28;549;5139
802988;Ongole (M);28;549;5139
802989;Kandukur (M);28;549;5148
802990;Kavali (M + OG);28;550;5158
802990;Kavali (M);28;550;5158
802991;Nellore (M Corp. + OG);28;550;5177
802991;Nellore (M Corp.);28;550;5177
802992;Gudur (M + OG) (Part);28;550;5184
802993;Venkatagiri (M + OG);28;550;5187
802993;Venkatagiri (M);28;550;5187
802992;Gudur (M + OG) (Part);28;550;5190
802994;Badvel (M) (Part);28;551;5210
802994;Badvel (M) (Part);28;551;5211
802995;Proddatur (M + OG);28;551;5214
802995;Proddatur (M);28;551;5214
802996;Jammalamadugu (NP);28;551;5215
802997;Pulivendla (M);28;551;5219
802998;Kadapa (M Corp. + OG) (Part);28;551;5226
802998;Kadapa (M Corp.) (Part);28;551;5230
802998;Kadapa (M Corp. + OG) (Part);28;551;5231
802998;Kadapa (M Corp.) (Part);28;551;5231
802999;Rayachoti (M);28;551;5239
803000;Rajampet (NP + OG);28;551;5246
803000;Rajampet (NP);28;551;5246
803001;Yemmiganur (M);28;552;5254
803002;Kurnool (M Corp. + OG) (Part);28;552;5258
803002;Kurnool (M Corp. + OG) (Part);28;552;5259
803002;Kurnool (M Corp.) (Part);28;552;5259
803003;Adoni (M + OG);28;552;5271
803003;Adoni (M);28;552;5271
803004;Nandyal (M + OG);28;552;5284
803004;Nandyal (M);28;552;5284
803005;Dhone (NP);28;552;5289
803006;Rayadurg (M);28;553;5305
803007;Guntakal (M);28;553;5309
803008;Tadpatri (M);28;553;5313
803009;Anantapur (M Corp. + OG) (Part);28;553;5330
803009;Anantapur (M Corp.);28;553;5330
803009;Anantapur (M Corp. + OG) (Part);28;553;5331
803010;Dharmavaram (M);28;553;5336
803011;Kadiri (M);28;553;5343
803012;Hindupur (M);28;553;5364
803014;Tirupati (M Corp. + OG) (Part);28;554;5375
803013;Srikalahasti (M);28;554;5378
803014;Tirupati (M Corp. + OG) (Part);28;554;5383
803014;Tirupati (M Corp.);28;554;5383
803015;Madanapalle (M + OG);28;554;5392
803015;Madanapalle (M);28;554;5392
803016;Nagari (M);28;554;5406
803017;Puttur (M);28;554;5407
803018;Punganur (M);28;554;5415
803020;Palamaner (M + OG) (Part);28;554;5417
803019;Chittoor (M + OG);28;554;5421
803019;Chittoor (M);28;554;5421
803020;Palamaner (M + OG) (Part);28;554;5422
803020;Palamaner (M);28;554;5422
803021;Nipani  (CMC);29;555;5433
803022;Sadalgi (TP);29;555;5433
803023;Chikodi (TMC);29;555;5433
803024;Athni (TMC + OG);29;555;5434
803024;Athni (TMC);29;555;5434
803025;Kudchi (TP);29;555;5435
803026;Raybag (TP);29;555;5435
803027;Mudalgi (TMC);29;555;5436
803028;Konnur (TP);29;555;5436
803029;Gokak Falls (NAC);29;555;5436
803030;Gokak (CMC);29;555;5436
803031;Sankeshwar (TMC);29;555;5437
803032;Hukeri (TP);29;555;5437
803033;Belgaum (M Corp. + OG);29;555;5438
803033;Belgaum (M Corp.);29;555;5438
803034;Belgaum Cantonment (CB);29;555;5438
803035;Khanapur (TP);29;555;5439
803036;Bail Hongal (TMC);29;555;5440
803037;Saundatti-Yellamma (TMC);29;555;5441
803038;Ramdurg (TMC + OG);29;555;5442
803038;Ramdurg (TMC);29;555;5442
803039;Mahalingpur (TMC);29;556;99999
803040;Terdal (TMC);29;556;5443
803041;Jamkhandi (CMC);29;556;5443
803042;Rabkavi Banhatti (CMC);29;556;5443
803043;Bilgi (TP);29;556;5444
803044;Mudhol (TMC);29;556;5445
803045;Kerur (TP);29;556;5446
803046;Badami (TMC);29;556;5446
803047;Guledgudda (TMC);29;556;5446
803048;Bagalkot (CMC);29;556;5447
803049;Hungund (TP);29;556;5448
803050;Ilkal (CMC);29;556;5448
803051;Bijapur (CMC);29;557;5449
803052;Indi (TMC);29;557;5450
803053;Sindgi (TMC);29;557;5451
803054;Basavana Bagevadi (TMC);29;557;5452
803055;Muddebihal (TMC);29;557;5453
803056;Talikota (TMC);29;557;5453
803057;Basavakalyan (CMC);29;558;5454
803058;Bhalki (TMC);29;558;5455
803059;Aurad (TP);29;558;5456
803060;Bidar (CMC + OG);29;558;5457
803060;Bidar (CMC);29;558;5457
803061;Homnabad (TMC);29;558;5458
803062;Chitgoppa (TMC);29;558;5458
803063;Mudgal (TP);29;559;5459
803064;Lingsugur (TMC);29;559;5459
803065;Hatti Gold Mines(NAC);29;559;5459
803066;Devadurga (TMC);29;559;5460
803067;Raichur (CMC);29;559;5461
803068;Manvi (TMC);29;559;5462
803069;Sindhnur (CMC);29;559;5463
803070;Yelbarga (TP);29;560;5464
803071;Kushtagi (TMC);29;560;5465
