town_code,town_name,district_code,state_code
800361,Kalka (MC),69,6
800362,Pinjore (MC),69,6
800363,Panchkula (M Cl),69,6
800364,Naraingarh (MC),70,6
800365,Ambala (M Cl),70,6
800366,Ambala Cantt. (CB),70,6
800367,Ambala Sadar (M Cl + OG),70,6
800367,Ambala Sadar (M Cl),70,6
800368,Jagadhri (M Cl),71,6
800369,Yamunanagar (M Cl + OG),71,6
800369,Yamunanagar (M Cl),71,6
800370,Shahbad (MC),72,6
800371,Pehowa (MC),72,6
800372,Thanesar (M Cl),72,6
800373,Ladwa (MC),72,6
800374,Cheeka (MC),73,6
800375,Kaithal (M Cl),73,6
800376,Kalayat (MC),73,6
800377,Pundri (MC + OG),73,6
800377,Pundri (MC),73,6
800378,Nilokheri (MC),74,6
800379,Taraori (MC),74,6
800380,Indri (MC),74,6
800381,Karnal (M Cl + OG),74,6
800381,Karnal (M Cl),74,6
800382,Nissing (MC),74,6
800383,Assandh (MC),74,6
800384,Gharaunda (MC),74,6
800385,Panipat (M Cl + OG),75,6
800385,Panipat (M Cl),75,6
800386,Samalkha (MC + OG),75,6
800386,Samalkha (MC),75,6
800387,Gohana (MC),76,6
800388,Ganaur (MC),76,6
800389,Sonipat (M Cl + OG),76,6
800389,Sonipat (M Cl),76,6
800390,Kharkhoda (MC),76,6
800391,Narwana (M Cl),77,6
800392,Uchana (MC),77,6
800393,Jind (M Cl),77,6
800394,Julana (MC),77,6
800395,Safidon (MC),77,6
800396,Ratia (MC),78,6
800397,Tohana (M Cl),78,6
800398,Fatehabad (M Cl),78,6
800399,Mandi Dabwali (MC),79,6
800400,Kalanwali (MC),79,6
800401,Sirsa (M Cl),79,6
800402,Rania (MC),79,6
800403,Ellenabad (MC),79,6
800404,Barwala (MC),80,6
800405,Hisar (M Cl + OG),80,6
800405,Hisar (M Cl),80,6
800406,Narnaund (MC),80,6
800407,Hansi (M Cl),80,6
800408,Bawani khera (MC),81,6
800409,Bhiwani (M Cl),81,6
800410,Siwani (MC),81,6
800411,Loharu (MC),81,6
800412,Charkhi Dadri (MC),81,6
800413,Maham (MC),82,6
800414,Rohtak (M Cl),82,6
800415,Kalanaur (MC),82,6
800416,Sampla (MC),82,6
800417,Beri (MC),83,6
800418,Bahadurgarh (M Cl),83,6
800419,Jhajjar (MC),83,6
800420,Kanina (MC),84,6
800421,Mahendragarh (MC),84,6
800422,Ateli (MC),84,6
800423,Narnaul (M Cl),84,6
800424,Dharuhera (MC),85,6
800425,Rewari (M Cl),85,6
800426,Bawal (MC),85,6
800427,Hailey Mandi (MC),86,6
800428,Pataudi (MC),86,6
