town_code,town_name,district_code,state_code
800925,Kachhauna Patseni (NP),155,9
800926,Beniganj (NP),155,9
800927,Sandila (NPP),155,9
800928,Ganj Muradabad (NP),156,9
800929,Bangarmau (NPP),156,9
800930,Fatehpur Chaurasi (NP),156,9
800931,Ugu (NP),156,9
800932,Safipur (NP),156,9
800933,Kursath (NP),156,9
800934,Auras (NP),156,9
800935,Hyderabad (NP),156,9
800936,Rasulabad (NP),156,9
800937,Mohan (NP),156,9
800938,Nyotini (NP),156,9
800939,Nawabganj (NP),156,9
800940,Unnao (NPP),156,9
800941,Gangaghat (NPP),156,9
800942,Purwa (NP),156,9
800943,Maurawan (NP),156,9
800944,Bighapur (NP),156,9
800945,Bhagwant Nagar (NP),156,9
800946,Malihabad (NP),157,9
800947,Mahona (NP),157,9
800948,Itaunja (NP),157,9
800949,Bakshi Ka Talab (NP),157,9
800950,Kakori (NP),157,9
800951,Lucknow (M Corp.),157,9
800952,Lucknow (CB),157,9
800953,Gosainganj (NP),157,9
800954,Amethi (NP),157,9
800955,Nagram (NP),157,9
800956,Bachhrawan (NP),158,9
800957,Maharajganj (NP),158,9
800958,Jais (NPP),158,9
800959,Rae Bareli (NPP),158,9
800960,Lalganj (NP),158,9
800961,Dalmau (NP),158,9
800962,Unchahar (NP),158,9
800963,Parsadepur (NP),158,9
800964,Salon (NP),158,9
800965,Kampil (NP),159,9
800966,Kaimganj (NPP),159,9
800967,Shamsabad (NP),159,9
800968,Farrukhabad-cum-Fatehgarh (NPP),159,9
800969,Fatehgarh (CB),159,9
800970,Mohammadabad (NP),159,9
800971,Kamalganj (NP),159,9
800972,Samdhan (NP),160,9
800973,Gursahaiganj (NPP),160,9
800974,Sikanderpur (NP),160,9
800975,Chhibramau (NPP),160,9
800976,Saurikh (NP),160,9
800977,Talgram (NP),160,9
800978,Kannauj (NPP),160,9
800979,Tirwaganj (NP),160,9
800980,Jaswantnagar (NPP),161,9
800981,Etawah (NPP),161,9
800982,Ekdil (NP),161,9
800983,Bharthana (NPP),161,9
800984,Bakewar (NP),161,9
800985,Lakhna (NP),161,9
800986,Bidhuna (NP),162,9
800987,Achhalda (NP),162,9
800988,Babarpur Ajitmal (NP),162,9
800989,Atasu (NP),162,9
800990,Phaphund (NP),162,9
800991,Dibiyapur (NP),162,9
800992,Auraiya (NPP),162,9
800993,Rasulabad (NP),163,9
800994,Jhinjhak (NP),163,9
800995,Derapur (NP),163,9
800996,Shivli (NP),163,9
800997,Rura (NP),163,9
800998,Akbarpur (NP),163,9
800999,Amraudha (NP),163,9
801000,Pukhrayan (NPP),163,9
801001,Sikandra (NP),163,9
801002,Bilhaur (NPP),164,9
801003,Shivrajpur (NP),164,9
801004,Bithoor (NP),164,9
801005,Kanpur (M Corp. + OG),164,9
801005,Kanpur (M Corp.),164,9
801006,Kanpur (CB),164,9
801007,Ghatampur (NPP),164,9
801008,Rampura (NP),165,9
801009,Umri (NP),165,9
801010,Madhogarh (NP),165,9
801011,Jalaun (NPP),165,9
801012,Kalpi (NPP),165,9
801013,Kadaura (NP),165,9
801014,Orai (NPP + OG),165,9
801014,Orai (NPP),165,9
801015,Kotra (NP),165,9
801016,Konch (NPP),165,9
801017,Nadigaon (NP),165,9
801018,Samthar (NPP),166,9
801019,Moth (NP),166,9
801020,Chirgaon (NPP),166,9
801021,Erich (NP),166,9
801022,Gursarai (NPP),166,9
801023,Garautha (NP),166,9
801024,Tondi Fatehpur (NP),166,9
801025,Mauranipur (NPP + OG),166,9
801025,Mauranipur (NPP),166,9
801026,Ranipur (NP),166,9
801027,Kathera (NP),166,9
801028,Barua Sagar (NPP),166,9
801029,Baragaon (NP),166,9
801030,Jhansi (M Corp.),166,9
801031,Jhansi (CB),166,9
801032,Jhansi Railway Settlement (ITS),166,9
801033,Babina (CB),166,9
801034,Talbehat (NP),167,9
801035,Lalitpur (NPP),167,9
801036,Pali (NP),167,9
801037,Mahroni (NP),167,9
801038,Kurara (NP),168,9
801039,Hamirpur (NPP),168,9
801040,Sumerpur (NP + OG),168,9
801040,Sumerpur (NP),168,9
801042,Rath (NPP),168,9
801041,Gohand (NP),168,9
801043,Sarila (NP),168,9
801044,Maudaha (NPP),168,9
801045,Kul Pahar (NP),169,9
801046,Kharela (NP),169,9
801047,Charkhari (NPP),169,9
801048,Mahoba (NPP),169,9
801049,Kabrai (NP),169,9
801050,Mataundh (NP),170,9
801051,Banda (NPP + OG),170,9
801051,Banda (NPP),170,9
801052,Tindwari (NP),170,9
801053,Baberu (NP),170,9
801054,Oran (NP),170,9
801055,Bisanda Buzurg (NP),170,9
801056,Atarra (NPP),170,9
801057,Naraini (NP),170,9
801058,Manikpur Sarhat (NP),171,9
801059,Chitrakoot Dham (Karwi) (NPP),171,9
801060,Rajapur (NP),171,9
801061,Kora Jahanabad (NP),172,9
801062,Bindki (NPP),172,9
801063,Bahuwa (NP),172,9
801064,Fatehpur (NPP),172,9
801065,Khaga (NP),172,9
801066,Kishunpur (NP),172,9
801067,Hathgram (NP),172,9
801068,Manikpur (NP),173,9
801069,Kunda (NP),173,9
801070,Antu (NP),173,9
801071,Bela Pratapgarh (NPP),173,9
801072,Pratapgarh City (NP),173,9
801073,Katra Medniganj (NP),173,9
801074,Patti (NP),173,9
801075,Ajhuwa (NP),174,9
801076,Sirathu (NP),174,9
801077,Manjhanpur (NP),174,9
801078,Karari (NP),174,9
801079,Bharwari (NP),174,9
801080,Chail (NP),174,9
801081,Sarai Aquil (NP),174,9
801082,Mau Aima (NP),175,9
801083,Lal Gopalganj Nindaura (NP),175,9
801084,Jhusi (NP),175,9
801085,Phulpur (NP),175,9
801086,Allahabad (M Corp. + OG),175,9
801086,Allahabad (M Corp.),175,9
801087,Allahabad (CB),175,9
801088,Shankargarh (NP),175,9
801089,Handia (NP),175,9
801090,Sirsa (NP),175,9
801091,Bharatganj (NP),175,9
801092,Koraon (NP),175,9
801093,Fatehpur (NP),176,9
801094,Ramnagar (NP),176,9
801095,Dewa (NP),176,9
801096,Nawabganj (NPP + OG),176,9
801096,Nawabganj (NPP),176,9
801097,Banki (NP),176,9
801098,Satrikh (NP),176,9
801099,Zaidpur (NP),176,9
801100,Tikait Nagar (NP),176,9
801101,Dariyabad (NP),176,9
801102,Siddhaur (NP),176,9
801103,Haidergarh (NP),176,9
801104,Subeha (NP),176,9
801105,Rudauli (NPP),177,9
801106,Bhadarsa (NP),177,9
801107,Faizabad (CB),177,9
801108,Faizabad (NPP),177,9
801109,Ayodhya (NPP),177,9
801110,Gosainganj (NP),177,9
801111,Bikapur (NP),177,9
801112,Iltifatganj Bazar (NP),178,9
801113,Tanda (NPP),178,9
801114,Ashrafpur Kichhauchha (NP),178,9
801115,Jalalpur (NPP),178,9
801116,Akbarpur (NPP),178,9
801117,Musafirkhana (NP),179,9
801118,Amethi (NP),179,9
801119,Sultanpur (NPP),179,9
801120,Koeripur (NP),179,9
801121,Dostpur (NP),179,9
801122,Kadipur (NP),179,9
801123,Nanpara (NPP),180,9
801124,Risiya Bazar (NP),180,9
801125,Bahraich (NPP),180,9
801126,Jarwal (NP),180,9
801127,Bhinga (NP),181,9
801128,Ikauna (NP),181,9
801129,Balrampur (NPP + OG),182,9
801129,Balrampur (NPP),182,9
801130,Tulsipur (NP),182,9
801131,Pachperwa (NP),182,9
801132,Utraula (NPP),182,9
801133,Khargupur (NP),183,9
801134,Gonda (NPP),183,9
801135,Katra (NP),183,9
801136,Colonelganj (NPP),183,9
801137,Nawabganj (NPP),183,9
801138,Mankapur (NP),183,9
801139,Barhani Bazar (NP),184,9
801140,Shohratgarh (NP),184,9
801141,Siddharthnagar (NPP),184,9
801142,Uska Bazar (NP),184,9
801143,Bansi (NPP),184,9
801144,Domariyaganj (NP),184,9
801145,Harraiya (NP),185,9
801146,Bhabnan Bazar (NP),185,9
801147,Basti (NPP),185,9
801148,Mehdawal (NP),186,9
801149,Khalilabad (NPP),186,9
801150,Maghar (NP),186,9
801151,Hariharpur (NP),186,9
801152,Nautanwa (NPP),187,9
801153,Nichlaul (NP),187,9
801154,Siswa Bazar (NP),187,9
801155,Anandnagar (NP),187,9
801156,Ghughuli (NP),187,9
801157,Maharajganj (NPP),187,9
801158,Pipiganj (NP),188,9
801159,Sahjanwan (NP),188,9
801160,Gorakhpur (M Corp.),188,9
801161,Pipraich (NP),188,9
801162,Mundera Bazar (NP),188,9
801163,Bansgaon (NP),188,9
801164,Gola Bazar (NP),188,9
801165,Barhalganj (NP),188,9
801166,Khadda (NP),189,9
801167,Padrauna (NPP),189,9
801168,Ramkola (NP),189,9
801169,Kaptanganj (NP),189,9
801170,Hata (NP),189,9
801171,Kushinagar (NP),189,9
801172,Sewarhi (NP),189,9
801173,Gauri Bazar (NP),190,9
801174,Rampur Karkhana (NP),190,9
801175,Deoria (NPP),190,9
801176,Rudrapur (NP),190,9
801177,Gaura Barhaj (NPP),190,9
801178,Bhatni Bazar (NP),190,9
801179,Majhauliraj (NP),190,9
801180,Salempur (NP),190,9
801181,Lar (NP),190,9
801182,Bhatpar Rani (NP),190,9
801183,Atrauliya (NP),191,9
801184,Mahrajganj (NP),191,9
801185,Bilariaganj (NP),191,9
801186,Jiyanpur (NP),191,9
801187,Azmatgarh (NP),191,9
801188,Mubarakpur (NPP),191,9
801189,Azamgarh (NPP),191,9
801190,Nizamabad (NP),191,9
801191,Sarai Mir (NP),191,9
801192,Phulpur (NP),191,9
801193,Katghar Lalganj (NP),191,9
801194,Mehnagar (NP),191,9
801195,Dohrighat (NP),192,9
801196,Amila (NP),192,9
801197,Ghosi (NP),192,9
801198,Kopaganj (NP),192,9
801199,Adari (NP),192,9
801200,Maunath Bhanjan (NPP),192,9
801201,Muhammadabad (NP),192,9
801202,Belthara Road (NP),193,9
801203,Sikanderpur (NP),193,9
801204,Rasra (NPP),193,9
801205,Chitbara Gaon (NP),193,9
801206,Ballia (NPP),193,9
801207,Maniyar (NP),193,9
801208,Bansdih (NP),193,9
801209,Sahatwar (NP),193,9
801210,Reoti (NP),193,9
801211,Shahganj (NPP),194,9
801212,Khetasarai (NP),194,9
801213,Mogra Badshahpur (NPP),194,9
801214,Machhlishahr (NP),194,9
801215,Jaunpur (NPP),194,9
801216,Jafarabad (NP),194,9
801217,Mariahu (NP),194,9
801218,Kerakat (NP),194,9
801219,Sadat (NP),195,9
801220,Saidpur (NP),195,9
801221,Jangipur (NP),195,9
801222,Ghazipur (NPP + OG),195,9
801222,Ghazipur (NPP),195,9
801223,Bahadurganj (NP),195,9
801224,Mohammadabad (NPP),195,9
801225,Dildarnagar Fatehpur Bazar (NP),195,9
801226,Zamania (NPP),195,9
801227,Mughalsarai (NPP),196,9
801228,Mughalsarai Railway Settlement (ITS),196,9
801229,Chandauli (NP),196,9
801230,Saiyad Raza (NP),196,9
801231,Chakia (NP),196,9
801232,Gangapur (NP),197,9
801233,Varanasi (CB),197,9
801234,Maruadih Railway Settlement (ITS),197,9
801235,Varanasi (M Corp.),197,9
801236,Ramnagar (NPP),197,9
801237,Suriyawan (NP),198,9
801238,Nai Bazar (NP),198,9
801239,Bhadohi (NPP),198,9
801240,Gyanpur (NP),198,9
801241,Gopiganj (NPP),198,9
801242,Khamaria (NP),198,9
801243,Ghosia Bazar (NP),198,9
801244,Mirzapur-cum-Vindhyachal (NPP),199,9
801245,Kachhwa (NP),199,9
801246,Chunar (NPP),199,9
801247,Ahraura (NPP),199,9
801248,Ghorawal (NP),200,9
801249,Sonbhadra (NPP),200,9
801250,Churk Ghurma (NP),200,9
801251,Chopan (NP),200,9
801252,Obra (NP),200,9
801253,Dudhi (NP),200,9
801254,Renukoot (NP + OG),200,9
801254,Renukoot (NP),200,9
801255,Hindalco Industries Ltd. (Renukoot) (ITS),200,9
801256,Kanaudia Chamical & Industries Ltd. (Renukoot) (ITS),200,9
801257,Pipri (NP),200,9
801258,Raja Ka Rampur (NP),201,9
801259,Aliganj (NPP),201,9
801260,Jaithara (NP),201,9
801261,Sakit (NP),201,9
801262,Etah (NPP),201,9
801263,Marehra (NPP),201,9
801264,Nidhauli Kalan (NP),201,9
801265,Jalesar (NPP),201,9
801266,Awagarh (NP),201,9
801267,Soron (NPP),202,9
801268,Bilram (NP),202,9
801269,Kasganj (NPP),202,9
801270,Sahawar (NP),202,9
801271,Amanpur (NP),202,9
801272,Mohanpur (NP),202,9
801273,Ganj Dundawara (NPP),202,9
801274,Patiyali (NP),202,9
801275,Sidhpura (NP),202,9
801276,Bhargain (NP),202,9
801277,Ramnagar (NP),203,10
801278,Narkatiaganj (Nagar Parishad),203,10
801279,Bagaha (Nagar Parishad),203,10
801280,Chanpatia (NP),203,10
801281,Bettiah (Nagar Parishad),203,10
801282,Raxaul Bazar  (Nagar Parishad),204,10
801283,Sugauli (NP),204,10
801284,Dhaka (NP),204,10
801285,Motihari (Nagar Parishad),204,10
801286,Areraj (NP),204,10
801287,Kesaria (NP),204,10
801288,Chakia (NP),204,10
801289,Pakri Dayal (NP),204,10
801290,Madhuban (NP),204,10
801291,Mehsi (NP),204,10
801292,Sheohar (NP),205,10
801293,Bairgania (NP),206,10
801294,Belsand (NP),206,10
801295,Sitamarhi (Nagar Parishad),206,10
801296,Dumra (NP),206,10
801297,Janakpur Road (NP),206,10
801298,Jainagar (NP),207,10
801299,Madhubani (Nagar Parishad),207,10
801300,Jhanjharpur (NP),207,10
801301,Ghoghardiha (NP),207,10
801302,Nirmali (NP),208,10
801303,Birpur (NP),208,10
801304,Supaul (Nagar Parishad),208,10
801305,Jogabani (NP),209,10
801306,Forbesganj (Nagar Parishad),209,10
801307,Araria (Nagar Parishad),209,10
801308,Thakurganj (NP),210,10
801309,Bahadurganj (NP),210,10
801310,Kishanganj (Nagar Parishad),210,10
801311,Banmankhi Bazar (NP),211,10
801312,Purnia (M Corp.),211,10
801313,Kasba (NP),211,10
801314,Katihar (M Corp. + OG),212,10
801314,Katihar (M Corp.),212,10
801315,Manihari (NP),212,10
801316,Madhepura (Nagar Parishad),213,10
801317,Murliganj (NP),213,10
801318,Saharsa (Nagar Parishad),214,10
801319,Darbhanga (M Corp.),215,10
801320,Benipur (Nagar Parishad),215,10
801321,Sahebganj (NP),216,10
801322,Motipur (NP),216,10
801323,Kanti (NP),216,10
801324,Muzaffarpur (M Corp.),216,10
801325,Kataiya (NP),217,10
801326,Mirganj (NP),217,10
801327,Gopalganj (Nagar Parishad),217,10
801328,Barauli (NP),217,10
801329,Siwan (Nagar Parishad),218,10
801330,Maharajganj (NP),218,10
801331,Mairwa (NP),218,10
801332,Revelganj (NP),219,10
801333,Chapra (Nagar Parishad),219,10
801334,Marhaura (NP),219,10
801335,Dighwara (NP),219,10
801336,Sonepur (NP),219,10
801337,Lalganj (NP),220,10
801338,Hajipur (Nagar Parishad),220,10
801339,Mahnar Bazar (NP),220,10
801340,Samastipur (Nagar Parishad + OG),221,10
801340,Samastipur (Nagar Parishad),221,10
801341,Dalsinghsarai (NP),221,10
801342,Rosera (NP),221,10
801343,Barauni (Nagar Parishad),222,10
801344,Teghra (NP),222,10
801345,Bihat (Nagar Parishad),222,10
801346,Begusarai (M Corp.) ,222,10
801347,Bakhri (NP),222,10
801348,Balia (NP),222,10
801349,Khagaria (Nagar Parishad),223,10
801350,Gogri Jamalpur (NP),223,10
801351,Naugachhia (NP),224,10
801352,Colgong (NP),224,10
801353,Sultanganj (Nagar Parishad),224,10
801354,Bhagalpur (M Corp.),224,10
801355,Amarpur (NP),225,10
801356,Banka (NP),225,10
801357,Munger (M Corp.),226,10
801358,Jamalpur (Nagar Parishad),226,10
801359,Kharagpur (NP),226,10
801360,Barahiya (NP),227,10
801361,Lakhisarai (Nagar Parishad),227,10
801362,Barbigha (NP),228,10
801363,Sheikhpura (Nagar Parishad),228,10
801364,Biharsharif (M Corp.),229,10
801365,Hilsa (Nagar Parishad),229,10
801366,Islampur (NP),229,10
801367,Rajgir (NP),229,10
801368,Silao (NP),229,10
801369,Maner (NP),230,10
801370,Dinapur Nizamat (Nagar Parishad),230,10
801371,Dinapur Cantonment (CB),230,10
801372,Khagaul (Nagar Parishad),230,10
801373,Patna (M Corp. + OG),230,10
801373,Patna (M Corp.),230,10
801374,Phulwari Sharif (Nagar Parishad),230,10
801375,Bihta (NP),230,10
801376,Naubatpur (NP),230,10
801377,Bikram (NP),230,10
801378,Masaurhi (Nagar Parishad),230,10
801379,Fatwah (NP),230,10
801380,Khusrupur (NP),230,10
801381,Bakhtiarpur (NP),230,10
801382,Barh (Nagar Parishad),230,10
801383,Mokameh (Nagar Parishad),230,10
801384,Shahpur (NP),231,10
801385,Arrah (M Corp.),231,10
801386,Koilwar (NP),231,10
801387,Behea (NP),231,10
801388,Jagdishpur (NP),231,10
801389,Piro (NP),231,10
801390,Dumraon (Nagar Parishad),232,10
801391,Buxar (Nagar Parishad),232,10
801392,Bhabua (Nagar Parishad),233,10
801393,Koath (NP),234,10
801394,Bikramganj (NP),234,10
801395,Nasriganj (NP),234,10
801396,Nokha (NP),234,10
801397,Sasaram (Nagar Parishad),234,10
801398,Dehri (Nagar Parishad),234,10
801399,Daudnagar (NP),235,10
801400,Rafiganj (NP),235,10
801401,Aurangabad (Nagar Parishad),235,10
801402,Nabinagar (NP),235,10
801403,Tikari (NP),236,10
801404,Gaya (M Corp. + OG),236,10
801404,Gaya (M Corp.),236,10
801405,Sherghati (NP),236,10
801406,Bodh Gaya (NP),236,10
801407,Nawada (Nagar Parishad),237,10
801408,Warisaliganj (NP),237,10
801409,Hisua (NP),237,10
801410,Rajauli (NP),237,10
801411,Jamui (Nagar Parishad),238,10
801412,Jhajha (NP),238,10
801413,Jehanabad (Nagar Parishad) ,239,10
801414,Makhdumpur (NP),239,10
801415,Arwal (Nagar Parishad),240,10
801416,Mangan (NP),241,11
801417,Gyalshing (NP),242,11
801418,Nayabazar Notified Bazar Area,242,11
801419,Namchi (M Cl),243,11
801420,Jorethang (NP),243,11
801421,Gangtok (M Corp.),244,11
801422,Singtam (NP),244,11
801423,Rangpo (NP),244,11
801424,Tawang (NT),245,12
801425,Dirang (NT),246,12
801426,Bomdila (NT),246,12
801427,Seppa (NT),247,12
801428,Itanagar (NT),248,12
801429,Naharlagun (NT),248,12
801430,Sagalee (NT),248,12
801431,Daporijo (NT),249,12
801432,Aalo (NT),250,12
801433,Basar (NT),250,12
801434,Boleng (NT),251,12
801435,Pasighat (NT),251,12
801436,Yingkiong (NT),252,12
801437,Changlang (NT),253,12
801438,Jairampur (NT),253,12
801439,Miao (NT),253,12
801440,Deomali (NT),254,12
801441,Khonsa (NT),254,12
801442,Longding,254,12
801443,Ziro (NT),255,12
801444,Koloriang (NT),256,12
801445,Anini (NT),257,12
801446,Roing (NT),258,12
801447,Tezu (NT),259,12
801448,Namsai (NT),259,12
801449,Hawai (NT),260,12
801450,Naginimora (TC),261,13
801451,Mon (TC),261,13
801452,Tuli (TC),262,13
801453,Changtongya (TC),262,13
801454,Mokokchung (MC),262,13
801455,Zunheboto (TC),263,13
801456,Wokha (TC),264,13
801457,Dimapur (MC),265,13
801458,Chumukedima (TC),265,13
801459,Medziphema (TC),265,13
801460,Phek (TC),266,13
801461,Pfutsero (TC),266,13
801462,Tuensang (TC),267,13
801463,Longleng (TC),268,13
801464,Kiphire (TC),269,13
801465,Tseminyu (TC),270,13
801466,Kohima (MC),270,13
801467,Jalukie (TC),271,13
801468,Peren (TC),271,13
801469,Nambol (MCI) (Major part),275,14
801470,Oinam (NP),275,14
801471,Bishnupur (MCI),275,14
801472,Ningthoukhong (NP),275,14
801473,Moirang (MCI),275,14
801474,Kwakta (NP),275,14
801475,Kumbi (NP),275,14
801476,Lilong (Thoubal) (NP) (Major part),276,14
801488,Samurou (NP) (Minor part),276,14
801477,Heirok (NP),276,14
801478,Wangjing (NP),276,14
801479,Thoubal (MCI),276,14
801480,Sikhong Sekmai (NP),276,14
801481,Yairipok (NP),276,14
801482,Sugnu (NP),276,14
801483,Kakching Khunou (NP),276,14
801484,Kakching (M Cl),276,14
801485,Lamsang (NP),277,14
801486,Sekmai Bazar (NP),277,14
801469,Nambol (MCI) (Minor part),277,14
801487,Imphal (MCI + OG) (Major part),277,14
801487,Imphal (MCI) (Major part),277,14
801488,Samurou NP (Major part),277,14
801489,Mayang Imphal (NP),277,14
801490,Thongkhong Laxmi Bazar (NP),277,14
801491,Wangoi (NP),277,14
801492,Lilong (Imphal West) (NP + OG),277,14
801492,Lilong (Imphal West) (NP),277,14
801493,Jiribam (M Cl),278,14
801494,Lamlai (NP),278,14
801487,Imphal (MCI + OG) ( Minor part),278,14
801487,Imphal (MCI) ( Minor part),278,14
801476,Lilong (Thoubal) (NP) ( Minor part),278,14
801495,Andro (NP),278,14
801496,Moreh (ST),280,14
801497,Zawlnuam (NT),281,15
801498,Mamit (NT),281,15
801499,Lengpui (NT),281,15
801500,N. Kawnpui (NT),282,15
801501,Vairengte (NT),282,15
801502,Bairabi (NT),282,15
801503,Kolasib (NT),282,15
801504,Darlawn (NT),283,15
801505,Sairang (NT),283,15
801506,Aizawl (NT),283,15
801507,Saitual (NT),283,15
801508,Khawzawl (NT),284,15
801509,Khawhai (NT),284,15
801510,Champhai (NT),284,15
801511,Biate (NT),284,15
801512,Serchhip (NT),285,15
801513,Thenzawl (NT),285,15
801514,North Vanlaiphai (NT),285,15
801515,Tlabung (NT),286,15
801516,Lunglei (NT),286,15
801517,Hnahthial (NT),286,15
801518,Lawngtlai (NT)            ,287,15
801519,Saiha (NT),288,15
801520,Khowai (NP),289,16
801521,Teliamura (NP),289,16
801522,Ranirbazar (NP),289,16
801523,Agartala (M Cl),289,16
801524,Bishalgarh (NP),289,16
801525,Sonamura (NP),289,16
801526,Udaipur (NP),290,16
801527,Amarpur (NP),290,16
801528,Santir Bazar (NP),290,16
801529,Belonia (NP),290,16
801530,Sabroom (NP),290,16
801531,Kamalpur (NP),291,16
801532,Ambassa (NP),291,16
801533,Kailasahar (NP),292,16
801534,Dharmanagar (NP),292,16
801535,Kumarghat (NP),292,16
801536,Tura (M),293,17
801537,Resubelpara (MB),294,17
801538,Williamnagar (MB),294,17
801539,Baghmara (MB),295,17
801540,Nongstoin (TC),296,17
801541,Mairang (TC),296,17
801542,Nongpoh (TC),297,17
801543,Shillong (CB),298,17
801544,Shillong (MB),298,17
801545,Jowai (M),299,17
801546,Gossaigaon (TC),300,18
801547,Kokrajhar (MB),300,18
801548,Gauripur (TC),301,18
801549,Dhubri (MB),301,18
801550,Sapatgram (TC),301,18
801551,Bilasipara (TC),301,18
801552,Chapar (TC),301,18
801553,Lakhipur (TC),302,18
801554,Goalpara (MB),302,18
801555,Barpeta Road (MB),303,18
801556,Sarbhog (TC),303,18
801557,Barpeta (MB),303,18
801558,Howli (TC),303,18
801559,Sarthebari (TC),303,18
801560,Pathsala (TC),303,18
801561,Marigaon (MB),304,18
801562,Dhing (TC),305,18
801563,Nagaon (MB + OG),305,18
801563,Nagaon (MB),305,18
801564,Raha (TC),305,18
801565,Kampur Town (TC),305,18
801566,Hojai (MB),305,18
801567,Doboka (TC),305,18
801568,Lumding (MB),305,18
801569,Lanka (MB),305,18
801570,Dhekiajuli (MB),306,18
801571,Rangapara (TC),306,18
801572,Tezpur (MB + OG),306,18
801572,Tezpur (MB),306,18
801573,Biswanath Chariali (TC),306,18
801574,Gohpur (TC) (Part),306,18
801574,Gohpur (TC) (Part),306,18
801575,Narayanpur (TC),307,18
801576,Bihpuria (TC),307,18
801577,North Lakhimpur (MB),307,18
801578,Dhakuakhana (TC),307,18
801579,Dhemaji (TC),308,18
801580,Silapathar (TC),308,18
801581,Doom Dooma (TC),309,18
801582,Makum (TC),309,18
801583,Tinsukia (MB + OG),309,18
801583,Tinsukia (MB),309,18
801584,Digboi (TC),309,18
801585,Margherita (TC),309,18
801586,Dibrugarh (MB + OG) (Part),310,18
801586,Dibrugarh (MB + OG) (Part),310,18
801587,Chabua (TC),310,18
801588,Naharkatiya (TC),310,18
801589,Sibsagar (MB),311,18
801590,Amguri (MB),311,18
801591,Nazira (MB),311,18
801592,Simaluguri (TC),311,18
801593,Sonari (MB),311,18
801594,Moranhat (TC),311,18
801595,Jorhat (MB + OG) (Part),312,18
801595,Jorhat (MB + OG) (Part),312,18
801596,Teok (TC) ,312,18
801597,Titabor Town (TC),312,18
801598,Mariani (TC),312,18
801599,Bokakhat (TC),313,18
801600,Dergaon (MB),313,18
801601,Golaghat (MB),313,18
801602,Sarupathar (TC),313,18
801603,Barpathar (TC),313,18
801604,Hamren (TC),314,18
801605,Donkamokam (TC),314,18
801606,Diphu (TC),314,18
801607,Bokajan (TC),314,18
801608,Howraghat (TC),314,18
801609,Dokmoka (TC),314,18
801610,Umrangso (TC),315,18
801611,Haflong (TC),315,18
801612,Mahur (TC),315,18
801613,Maibong (TC),315,18
801614,Silchar (MB + OG),316,18
801614,Silchar (MB),316,18
801615,Lakhipur (MB),316,18
801616,Karimganj (MB),317,18
801617,Badarpur (TC),317,18
801618,Hailakandi (MB),318,18
801619,Lala (TC),318,18
801620,Bongaigaon (MB),319,18
801621,Abhayapuri (TC),319,18
801622,Basugaon (TC),320,18
801623,Bijni (TC),320,18
801624,Rangia (MB),321,18
801625,Palasbari (MB),321,18
801626,North Guwahati (TC),322,18
801627,Guwahati (M Corp.) (Part),322,18
801627,Guwahati (M Corp. + OG) (Part),322,18
801628,Tihu (TC),323,18
801629,Nalbari (MB),323,18
801630,Mangaldoi (MB),325,18
801631,Kharupatia (TC),325,18
801632,Tangla (TC),326,18
801633,Udalguri (TC),326,18
801634,Darjiling (M),327,19
801635,Kalimpong (M),327,19
801636,Mirik (NA),327,19
801637,Kurseong (M),327,19
801638,Siliguri (M Corp.) (Part),327,19
801638,Siliguri (M Corp.) (Part),328,19
801639,Mal (M),328,19
801640,Jalpaiguri (M),328,19
801641,Dhupguri (M),328,19
801642,Alipurduar (M),328,19
801643,Haldibari (M),329,19
801644,Mekliganj (M),329,19
801645,Mathabhanga (M),329,19
801646,Koch Bihar (M),329,19
801647,Tufanganj (M),329,19
801648,Dinhata (M),329,19
801649,Islampur (M),330,19
801650,Dalkhola (M),330,19
801651,Raiganj (M),330,19
801652,Kaliaganj (M),330,19
801653,Gangarampur (M),331,19
801654,Balurghat (M + OG),331,19
801654,Balurghat (M),331,19
801655,Old Malda (M),332,19
801656,English Bazar (M),332,19
801657,Dhulian (M),333,19
801658,Jangipur (M),333,19
801659,Jiaganj-Azimganj (M),333,19
801660,Murshidabad (M),333,19
801661,Kandi (M),333,19
801662,Berhampore (M),333,19
801663,Beldanga (M),333,19
801664,Nalhati (M),334,19
801665,Rampurhat (M),334,19
801666,Suri (M),334,19
801667,Sainthia (M),334,19
801668,Dubrajpur (M),334,19
801669,Bolpur (M),334,19
801670,Kulti (M),335,19
801671,Asansol (M Corp.),335,19
801672,Jamuria (M + OG),335,19
801672,Jamuria (M),335,19
801673,Raniganj (M),335,19
801674,Durgapur (M Corp.),335,19
801675,Katwa (M),335,19
801676,Dainhat (M),335,19
801677,Guskara (M),335,19
801678,Barddhaman (M),335,19
801679,Kalna (M),335,19
801680,Memari (M),335,19
801681,Nabadwip (M),336,19
801682,Krishnanagar (M),336,19
801683,Santipur (M),336,19
801684,Taherpur (NA + OG),336,19
801684,Taherpur (NA),336,19
801685,Birnagar (M),336,19
801686,Ranaghat (M),336,19
801687,Cooper's Camp (NA + OG),336,19
801687,Cooper's Camp (NA),336,19
801688,Chakdaha (M),336,19
801689,Kalyani (M),336,19
801690,Gayespur (M),336,19
801691,Bongaon (M),337,19
801692,Halisahar (M),337,19
801693,Kanchrapara (M + OG),337,19
801693,Kanchrapara (M),337,19
801694,Naihati (M),337,19
801695,Bhatpara (M + OG),337,19
801695,Bhatpara (M),337,19
801696,Gobardanga (M),337,19
